raw_name,DTXSID
"Bismuth Telluride, Se Doped",DTXSID90894839
Chlorine Trifluoride,DTXSID90893948
trans-Decahydronaphthalene,DTXSID90883405
Acid Yellow 42,DTXSID90881406
Phenyl Ether-Biphenyl Mix (Vapor),DTXSID9073387
"Platinum (as Pt), metal",DTXSID9064681
"2,5-Dichloro-4-Nitroaniline",DTXSID9064425
2-Ethylnaphthalene,DTXSID9061330
Thoron,DTXSID9059624
Difluorodibromomethane,DTXSID9058789
"2,6-Diisopropylphenyl isocyanate",DTXSID9051959
Manganese Tetroxide (as Mn),DTXSID9051660
Limestone (Total Dust),DTXSID9050486
Limestone (Respirable Fraction),DTXSID9050486
Calcium,DTXSID9050484
Potassium,DTXSID9049748
Magnesium Oxide Fume (Total Particulate),DTXSID9049665
Etoposide Phosphate,DTXSID9048645
Phosphorus Pentoxide,DTXSID9047754
4-Phenylcyclohexene,DTXSID9047176
Hexafluoroacetone,DTXSID9043778
Tetrasodium Pyrophosphate,DTXSID9042465
4-Nitrodiphenyl,DTXSID9041522
4-Nitrobipheny,DTXSID9041522
Trypsin,DTXSID9040922
Allyl Glycidyl Ether,DTXSID9039232
Cyclohexene,DTXSID9038717
Sodium Tripolyphosphate,DTXSID9036307
Potassium p-tert-amylphenate,DTXSID9035757
Gypsum (Total Dust),DTXSID9035674
Gypsum (Respirable Fraction),DTXSID9035674
Diallyl Disulfide,DTXSID9035206
Sulfuryl Fluoride,DTXSID9034945
Sulfur,DTXSID9034941
Monocrotophos,DTXSID9034816
Cyanamide,DTXSID9034490
5-Chloro-2-Methyl-4-Isothiazolin-3-One,DTXSID9034286
Phosphorus Pentachloride,DTXSID9033896
Pentac,DTXSID9032371
Ficam,DTXSID9032327
"Silica, Amorphous, Precipitated and Gel",DTXSID9029851
Calcium Sulfate (Total Dust),DTXSID9029699
Calcium Sulfate (Respirable Fraction),DTXSID9029699
Sodium Hydrosulfite,DTXSID9029697
"m-Xylene-alpha,alpha'-diamine",DTXSID9029649
Hydrogen,DTXSID9029643
4-Methyl Morpholine,DTXSID9029146
Methylcyclopentadienyl Manganese Tricarbonyl,DTXSID9027738
Methylcyclopentadienyl Manganese Tricarbonyl (as Mn),DTXSID9027738
Ammonium Carbamate,DTXSID9027360
N-Hydroxyethylethylenediaminetriacetate Trisodium salt,DTXSID9027075
Diethylene Glycol Monobutyl Ether Acetate,DTXSID9027021
"Diethylene Glycol Monobutyl Ether, Acetate",DTXSID9027021
"N,N-Dimethylcyclohexylamine",DTXSID9026633
Benzoyl Chloride,DTXSID9026631
Dimethyl Sulfide,DTXSID9026398
Ethyl Mercaptan,DTXSID9026394
Nonane,DTXSID9025796
alpha-Methyl Styrene,DTXSID9025661
6-Methylcoumarin,DTXSID9025588
Isoamyl Acetate,DTXSID9025453
Dicyclopentadienyl Iron (Respirable Fraction),DTXSID9025326
2-Ethylhexyl acrylate,DTXSID9025297
2-Ethylhexanoic acid,DTXSID9025293
"2,3-Dimethylbutane",DTXSID9025112
Diisopropylamine,DTXSID9025085
Diborane,DTXSID9024938
n-Butyl Glycidyl Ether,DTXSID9024691
Benzenesulfonic Acid,DTXSID9024568
MCPP,DTXSID9024194
Hydrogen Cyanide,DTXSID9024148
Cyclonite,DTXSID9024142
Dicrotophos,DTXSID9023914
Sodium Bromate,DTXSID9023837
Triethylenetetramine,DTXSID9023702
Paclitaxel,DTXSID9023413
Norethindrone,DTXSID9023380
MORPHINE,DTXSID9023336
Estriol,DTXSID9022366
ESTRIOL,DTXSID9022366
2-Phenoxyethanol,DTXSID9021976
2-Ethoxyethyl Acetate,DTXSID9021928
Pyridine,DTXSID9021924
2-methylpyridine,DTXSID9021899
3-methylpyridine,DTXSID9021897
Phenyl Ether (Vapor),DTXSID9021847
Monomethyl Aniline,DTXSID9021841
sec-Butyl Alcohol,DTXSID9021762
Undecane,DTXSID9021689
Isobutyraldehyde,DTXSID9021635
Triethanolamine,DTXSID9021392
Thiourea,DTXSID9021348
Pyrimethamine,DTXSID9021217
p-Phenylene Diamine,DTXSID9021138
p-Phenylenediamine,DTXSID9021138
Methyl Naphthalene,DTXSID9020877
Methoxychlor (Total Dust),DTXSID9020827
Maneb,DTXSID9020794
Isobutylene,DTXSID9020748
Ethyl Alcohol,DTXSID9020584
N-Nitrosodiamylamine,DTXSID9020536
Dioxathion,DTXSID9020534
Dieldrin,DTXSID9020453
"Dibenz(a,h)anthracene",DTXSID9020409
Diazinon,DTXSID9020407
"p,p'-Dichlorodiphenyldichloroethylene",DTXSID9020374
"Ethyl-4,4'-Dichlorobenzilate",DTXSID9020299
o-Chlorobenzylidene Malononitrile,DTXSID9020297
p-Chloroaniline,DTXSID9020295
alpha-Chloroacetophenone,DTXSID9020293
Carbofuran,DTXSID9020249
Carbaryl,DTXSID9020247
Captan,DTXSID9020243
CAPSAICIN,DTXSID9020241
Capsaicin,DTXSID9020241
Dichloroethyl Ether,DTXSID9020168
Bifenthrin,DTXSID9020160
Atrazine,DTXSID9020112
Sodium Metasilicate,DTXSID901354041
Marble (Respirable Fraction),DTXSID90109374
Marble (Total Dust),DTXSID90109374
Perlite (Total Dust),DTXSID901026428
Nitrotoluene,DTXSID901010229
Lithium Hydride,DTXSID80893078
Ethyl Vinyl Benzene,DTXSID80891150
Decaborane,DTXSID80880049
Trichloronaphthalene,DTXSID80872601
DESFLURANE,DTXSID80866606
Desflurane,DTXSID80866606
Hafnium,DTXSID8064698
"Tantalum (metal, oxide dusts)",DTXSID8064690
"2-(2,4-Dinitrophenoxy)ethanol",DTXSID8062656
4-Hydroxycoumarin,DTXSID8061472
Carbon Tetrabromide,DTXSID8060327
Acridine,DTXSID8059766
3-Methylpentane,DTXSID8052647
Zinc Bromide,DTXSID8052512
Vinyl Alcohol,DTXSID8051467
Portland Cement (Total Dust),DTXSID8050493
Portland Cement (Respirable Fraction),DTXSID8050493
Perchloric Acid,DTXSID8047004
Methyl Violet,DTXSID8046666
SEVOFLURANE,DTXSID8046614
TETRAHYDROFURFURYL ACRYLATE,DTXSID8044884
Vincristine Sulfate,DTXSID8044331
Indene,DTXSID8042052
Terpineol,DTXSID8040775
Benzaldehyde,DTXSID8039241
Allethrin,DTXSID8035180
Sodium Bisulfite,DTXSID8034902
Pyrethrum,DTXSID8034873
Denatonium Benzoate,DTXSID8034376
Isofenphos,DTXSID8032417
Perfluorooctanoic acid,DTXSID8031865
Fluoboric Acid,DTXSID8029739
dipropylene glycol mono-n-butyl ether,DTXSID8027959
Ethyl Toluene (all isomers),DTXSID8027876
Zinc Protoporphyrin,DTXSID80274823
Dimethylaniline,DTXSID8027377
Xylidine,DTXSID8027377
Xylenol,DTXSID8027375
4-Nitrodiphenylamine,DTXSID8027323
