raw_name,preferred_name
"Anisidine (o,p-Isomers)",anisodine
Ethyl Toluene (all isomers),ethyltoluene
Hexachlorodibenzodioxins (All Isomers),hexachlorodibenzodioxin
Heptachlorodibenzodioxins (All Isomers),heptachlorodibenzodioxin
17-Α-METHYL TESTOSTERONE,17.alpha.-methyltestosterone
Methylcyclopentadienyl Manganese Tricarbonyl (as Mn),2-methylcyclopentadienylmanganese tricarbonyl
6-Methoxytetralone,6-Methoxy-alpha-tetralone
Benzo (e) Pyrene,benzo(e)pyrene
Benzo [a] Pyrene,benzo[a]pyrene
3-Methoxy-n-butyl Acetate,3-methoxybutyl acetate
Cycolphosphamide,cyclophosphamide
Methylene bis Thiocyanate,methylene bis(thiocyanate)
beta-Chloroprene,Chloroprene
Dimethyl Succimate,dimethyl succinate
4-Phenylcyclohexene,4-Phenyl-1-cyclohexene
DI(ETHYLENE GLYCOL)ETHYL ETHER ACRYLATE,2-(2-Ethoxyethoxy)ethyl acrylate
Ethyl Hexyl Acetate,2-Ethylhexyl acetate
"2-(2,4-Dinitrophenoxy)ethanol","Ethanol, 2-(2,4-dinitrophenoxy)-"
Isocyanates,isocyanate
"2,4-D, Isooctyl Ester","2,4-D isooctyl ester"
DI(ETHYLENE GLYCOL) ETHYL ETHER ACRYLATE,2-(2-Ethoxyethoxy)ethyl acrylate
17-alpha-Methyl Testosterone,17alpha-methyltestosterone
4-Nitrobipheny,4-nitrobiphenyl
Dodecyl Benzene,dodecylbenzene
Divinyl Benzene,divinylbenzene
Direct Black 38,C.I. Direct Black 38
Methylcyclopentadienyl Manganese Tricarbonyl,(Methylcyclopentadienyl)tricarbonylmanganese
Methyl Formamide,methylformamide
3-Methyl-2-Cyclopentene-2-ol-one,3-methyl-2-cyclopentene-2-ol-1-one
1-Chloro-4-trifluoromethylbenzene,1-chloro-4-(trifluoromethyl)benzene
Cellulose Acetate,"cellulose, acetate"
Methylcyclohexano,methylcyclohexanol
4-Methyl Morpholine,4-methylmorpholine
Diethylamino ethanol,diethylaminoethanol
"2,4,5-T, Butyl Ester","2,4,5-t butyl ester"
alpha-Methyl Styrene,alpha-methylstyrene
"2,4,4-Trimethyl Pentene","2,4,4-trimethylpentene"
Methyl Dicyclohexylamine,methyldicyclohexylamine
Di-(2-Ethylhexyl) Adipate,di(2-ethylhexyl) adipate
Di-(2-Ethylhexyl)phthalate,di-(2-ethylhexyl) phthalate
"2,4-Dinitrophenyl Hydrazine","2,4-dinitrophenylhydrazine"
Dimethylaminoethoxy ethanol,dimethylaminoethoxyethanol
2-(2-Methoxyethoxy) Ethanol,2-(2-methoxyethoxy)ethanol
Dodecyl Benzenesulfonic Acid,dodecylbenzenesulfonic acid
